id,userId,shopId,score,createTime,updateTime,isDelete
1,1,1,4,2026-03-24 11:57:00,2026-03-24 11:57:00,0
2,2,12,5,2026-03-23 11:54:00,2026-03-23 11:54:00,0
3,6,23,4,2026-03-22 11:51:00,2026-03-22 11:51:00,0
4,7,34,3,2026-03-21 11:48:00,2026-03-21 11:48:00,0
5,8,45,5,2026-03-20 11:45:00,2026-03-20 11:45:00,0
6,9,56,4,2026-03-19 11:42:00,2026-03-19 11:42:00,0
7,10,67,5,2026-03-18 11:39:00,2026-03-18 11:39:00,0
8,11,78,4,2026-03-17 11:36:00,2026-03-17 11:36:00,0
9,12,89,5,2026-03-16 11:33:00,2026-03-16 11:33:00,0
10,13,100,5,2026-03-15 11:30:00,2026-03-15 11:30:00,0
11,14,111,4,2026-03-14 11:27:00,2026-03-14 11:27:00,0
12,15,122,5,2026-03-13 11:24:00,2026-03-13 11:24:00,0
13,56,133,4,2026-03-12 11:21:00,2026-03-12 11:21:00,0
14,57,144,3,2026-03-11 11:18:00,2026-03-11 11:18:00,0
15,58,155,5,2026-03-10 11:15:00,2026-03-10 11:15:00,0
16,59,166,4,2026-03-09 11:12:00,2026-03-09 11:12:00,0
17,60,177,5,2026-03-08 11:09:00,2026-03-08 11:09:00,0
18,61,189,4,2026-03-07 11:06:00,2026-03-07 11:06:00,0
19,62,200,5,2026-03-06 11:03:00,2026-03-06 11:03:00,0
20,63,211,5,2026-03-05 11:00:00,2026-03-05 11:00:00,0
21,64,222,4,2026-03-04 10:57:00,2026-03-04 10:57:00,0
22,65,233,5,2026-03-03 10:54:00,2026-03-03 10:54:00,0
23,66,244,4,2026-03-02 10:51:00,2026-03-02 10:51:00,0
24,67,255,3,2026-03-01 10:48:00,2026-03-01 10:48:00,0
25,68,266,5,2026-02-28 10:45:00,2026-02-28 10:45:00,0
26,69,277,4,2026-02-27 10:42:00,2026-02-27 10:42:00,0
27,70,288,5,2026-02-26 10:39:00,2026-02-26 10:39:00,0
28,71,299,4,2026-02-25 10:36:00,2026-02-25 10:36:00,0
29,72,310,5,2026-02-24 10:33:00,2026-02-24 10:33:00,0
30,73,321,5,2026-02-23 10:30:00,2026-02-23 10:30:00,0
31,74,332,4,2026-02-22 10:27:00,2026-02-22 10:27:00,0
32,75,343,5,2026-02-21 10:24:00,2026-02-21 10:24:00,0
33,76,354,4,2026-02-20 10:21:00,2026-02-20 10:21:00,0
34,77,365,3,2026-02-19 10:18:00,2026-02-19 10:18:00,0
35,78,377,5,2026-02-18 10:15:00,2026-02-18 10:15:00,0
36,79,388,4,2026-02-17 10:12:00,2026-02-17 10:12:00,0
37,80,399,5,2026-02-16 10:09:00,2026-02-16 10:09:00,0
38,81,410,4,2026-02-15 10:06:00,2026-02-15 10:06:00,0
39,82,421,5,2026-02-14 10:03:00,2026-02-14 10:03:00,0
40,83,432,5,2026-02-13 10:00:00,2026-02-13 10:00:00,0
41,84,443,4,2026-02-12 09:57:00,2026-02-12 09:57:00,0
42,85,454,5,2026-02-11 09:54:00,2026-02-11 09:54:00,0
43,86,465,4,2026-02-10 09:51:00,2026-02-10 09:51:00,0
44,87,476,3,2026-02-09 09:48:00,2026-02-09 09:48:00,0
45,88,487,5,2026-02-08 09:45:00,2026-02-08 09:45:00,0
46,89,498,4,2026-02-07 09:42:00,2026-02-07 09:42:00,0
47,90,509,5,2026-02-06 09:39:00,2026-02-06 09:39:00,0
48,91,520,4,2026-02-05 09:36:00,2026-02-05 09:36:00,0
49,92,531,5,2026-02-04 09:33:00,2026-02-04 09:33:00,0
50,93,542,5,2026-02-03 09:30:00,2026-02-03 09:30:00,0
51,94,553,4,2026-02-02 09:27:00,2026-02-02 09:27:00,0
52,95,565,5,2026-02-01 09:24:00,2026-02-01 09:24:00,0
53,96,576,4,2026-01-31 09:21:00,2026-01-31 09:21:00,0
54,97,587,3,2026-01-30 09:18:00,2026-01-30 09:18:00,0
55,98,598,5,2026-01-29 09:15:00,2026-01-29 09:15:00,0
56,99,609,4,2026-01-28 09:12:00,2026-01-28 09:12:00,0
57,100,620,5,2026-01-27 09:09:00,2026-01-27 09:09:00,0
58,101,631,4,2026-01-26 09:06:00,2026-01-26 09:06:00,0
59,102,642,5,2026-01-25 09:03:00,2026-01-25 09:03:00,0
60,103,653,5,2026-01-24 09:00:00,2026-01-24 09:00:00,0
