id,managerId,name,description,tags,categoryId,longitude,latitude,address,city,businessStatus,auditStatus,avgScore,ratingCount,commentCount,favoriteCount,viewCount,createTime,updateTime,isDelete
1,3,蜀香火锅,主打川味牛油火锅，适合朋友聚餐,"[""火锅"", ""聚餐"", ""热门"", ""麻辣""]",1,116.397128,39.916527,北京市朝阳区建国路88号,北京,1,1,4.57,14,70,22,476,2026-03-24 12:00:00,2026-03-24 12:00:00,0
2,4,深夜烧烤摊,营业到凌晨两点的烧烤小店,"[""烧烤"", ""夜宵"", ""人气"", ""烤串""]",2,116.407128,39.926527,北京市海淀区中关村大街100号,北京,1,1,4.62,13,0,21,257,2026-03-23 12:00:00,2026-03-23 12:00:00,0
3,3,甜心奶茶,招牌杨枝甘露和芝士葡萄,"[""奶茶"", ""饮品"", ""学生党"", ""网红""]",3,121.473701,31.230416,上海市浦东新区世纪大道200号,上海,1,1,4.00,13,0,11,207,2026-03-22 12:00:00,2026-03-22 12:00:00,0
4,4,慢时光咖啡馆,适合学习办公的安静咖啡店,"[""咖啡"", ""安静"", ""下午茶"", ""办公""]",4,121.483701,31.240416,上海市徐汇区漕溪北路66号,上海,1,1,4.15,13,70,21,467,2026-03-21 12:00:00,2026-03-21 12:00:00,0
5,3,老街快餐,平价便捷，出餐快,"[""快餐"", ""便宜"", ""午餐"", ""外卖""]",5,113.264385,23.129112,广州市天河区体育西路10号,广州,1,1,4.50,14,0,11,211,2026-03-20 12:00:00,2026-03-25 12:00:00,0
6,4,樱花甜品屋,主打蛋糕和双皮奶,"[""甜品"", ""约会"", ""下午茶"", ""拍照""]",6,113.274385,23.139112,广州市越秀区北京路66号,广州,1,1,4.54,13,0,21,257,2026-03-19 12:00:00,2026-03-24 12:00:00,0
7,3,和风日料,新鲜刺身，地道日本料理,"[""日料"", ""刺身"", ""寿司"", ""高端""]",7,116.417128,39.936527,北京市朝阳区三里屯路33号,北京,1,1,4.64,14,0,11,211,2026-03-18 12:00:00,2026-03-23 12:00:00,0
8,4,西堤牛排,精选进口牛排，环境优雅,"[""西餐"", ""牛排"", ""约会"", ""浪漫""]",8,121.493701,31.250416,上海市黄浦区南京东路300号,上海,1,1,4.38,13,71,22,475,2026-03-17 12:00:00,2026-03-22 12:00:00,0
9,3,麻辣诱惑,正宗川菜，麻辣鲜香,"[""川菜"", ""麻辣"", ""聚餐"", ""地道""]",9,113.284385,23.149112,广州市天河区珠江新城10号,广州,1,1,4.15,13,0,11,207,2026-03-16 12:00:00,2026-03-21 12:00:00,0
10,4,粤式茶餐厅,地道粤菜，点心精致,"[""粤菜"", ""茶餐厅"", ""点心"", ""早茶""]",10,113.294385,23.159112,广州市越秀区中山五路20号,广州,1,1,4.15,13,0,22,262,2026-03-15 12:00:00,2026-03-25 12:00:00,0
