id,userId,couponId,orderId,code,status,obtainTime,useTime,expireTime,createTime,updateTime,isDelete
1,7,1,1,CODE202603000001,0,2026-03-24 12:04:00,,2026-09-20 11:59:00,2026-03-24 11:59:00,2026-03-24 12:04:00,0
2,10,2,2,CODE202603000002,0,2026-03-23 12:03:00,,2026-09-19 11:58:00,2026-03-23 11:58:00,2026-03-23 12:03:00,0
3,13,3,3,CODE202603000003,1,2026-03-22 12:02:00,2026-03-23 11:57:00,2026-09-18 11:57:00,2026-03-22 11:57:00,2026-03-23 11:57:00,0
4,59,5,5,CODE202603000005,0,2026-03-20 12:00:00,,2026-09-16 11:55:00,2026-03-20 11:55:00,2026-03-20 12:00:00,0
5,62,6,6,CODE202603000006,3,2026-03-19 11:59:00,,2026-09-15 11:54:00,2026-03-19 11:54:00,2026-03-19 11:59:00,0
6,65,7,7,CODE202603000007,0,2026-03-18 11:58:00,,2026-09-14 11:53:00,2026-03-18 11:53:00,2026-03-18 11:58:00,0
7,68,8,8,CODE202603000008,1,2026-03-17 11:57:00,2026-03-18 11:52:00,2026-09-13 11:52:00,2026-03-17 11:52:00,2026-03-18 11:52:00,0
8,77,11,11,CODE202603000011,0,2026-03-14 11:54:00,,2026-09-10 11:49:00,2026-03-14 11:49:00,2026-03-14 11:54:00,0
9,80,12,12,CODE202603000012,0,2026-03-13 11:53:00,,2026-09-09 11:48:00,2026-03-13 11:48:00,2026-03-13 11:53:00,0
10,83,13,13,CODE202603000013,1,2026-03-12 11:52:00,2026-03-13 11:47:00,2026-09-08 11:47:00,2026-03-12 11:47:00,2026-03-13 11:47:00,0
11,89,15,15,CODE202603000015,0,2026-03-10 11:50:00,,2026-09-06 11:45:00,2026-03-10 11:45:00,2026-03-10 11:50:00,0
12,92,16,16,CODE202603000016,3,2026-03-09 11:49:00,,2026-09-05 11:44:00,2026-03-09 11:44:00,2026-03-09 11:49:00,0
13,95,17,17,CODE202603000017,0,2026-03-08 11:48:00,,2026-09-04 11:43:00,2026-03-08 11:43:00,2026-03-08 11:48:00,0
14,98,18,18,CODE202603000018,1,2026-03-07 11:47:00,2026-03-08 11:42:00,2026-09-03 11:42:00,2026-03-07 11:42:00,2026-03-08 11:42:00,0
15,107,21,21,CODE202603000021,0,2026-03-04 11:44:00,,2026-08-31 11:39:00,2026-03-04 11:39:00,2026-03-04 11:44:00,0
16,110,22,22,CODE202603000022,0,2026-03-03 11:43:00,,2026-08-30 11:38:00,2026-03-03 11:38:00,2026-03-03 11:43:00,0
17,113,23,23,CODE202603000023,1,2026-03-02 11:42:00,2026-03-03 11:37:00,2026-08-29 11:37:00,2026-03-02 11:37:00,2026-03-03 11:37:00,0
18,119,25,25,CODE202603000025,0,2026-02-28 11:40:00,,2026-08-27 11:35:00,2026-02-28 11:35:00,2026-02-28 11:40:00,0
19,122,26,26,CODE202603000026,3,2026-02-27 11:39:00,,2026-08-26 11:34:00,2026-02-27 11:34:00,2026-02-27 11:39:00,0
20,125,27,27,CODE202603000027,0,2026-02-26 11:38:00,,2026-08-25 11:33:00,2026-02-26 11:33:00,2026-02-26 11:38:00,0
21,128,28,28,CODE202603000028,1,2026-02-25 11:37:00,2026-02-26 11:32:00,2026-08-24 11:32:00,2026-02-25 11:32:00,2026-02-26 11:32:00,0
22,137,31,31,CODE202603000031,0,2026-02-22 11:34:00,,2026-08-21 11:29:00,2026-02-22 11:29:00,2026-02-22 11:34:00,0
23,140,32,32,CODE202603000032,0,2026-02-21 11:33:00,,2026-08-20 11:28:00,2026-02-21 11:28:00,2026-02-21 11:33:00,0
24,143,33,33,CODE202603000033,1,2026-02-20 11:32:00,2026-02-21 11:27:00,2026-08-19 11:27:00,2026-02-20 11:27:00,2026-02-21 11:27:00,0
25,149,35,35,CODE202603000035,0,2026-02-18 11:30:00,,2026-08-17 11:25:00,2026-02-18 11:25:00,2026-02-18 11:30:00,0
26,152,36,36,CODE202603000036,3,2026-02-17 11:29:00,,2026-08-16 11:24:00,2026-02-17 11:24:00,2026-02-17 11:29:00,0
27,155,37,37,CODE202603000037,0,2026-02-16 11:28:00,,2026-08-15 11:23:00,2026-02-16 11:23:00,2026-02-16 11:28:00,0
28,158,38,38,CODE202603000038,1,2026-02-15 11:27:00,2026-02-16 11:22:00,2026-08-14 11:22:00,2026-02-15 11:22:00,2026-02-16 11:22:00,0
29,167,41,41,CODE202603000041,0,2026-02-12 11:24:00,,2026-08-11 11:19:00,2026-02-12 11:19:00,2026-02-12 11:24:00,0
30,170,42,42,CODE202603000042,0,2026-02-11 11:23:00,,2026-08-10 11:18:00,2026-02-11 11:18:00,2026-02-11 11:23:00,0
31,173,43,43,CODE202603000043,1,2026-02-10 11:22:00,2026-02-11 11:17:00,2026-08-09 11:17:00,2026-02-10 11:17:00,2026-02-11 11:17:00,0
32,179,45,45,CODE202603000045,0,2026-02-08 11:20:00,,2026-08-07 11:15:00,2026-02-08 11:15:00,2026-02-08 11:20:00,0
33,182,46,46,CODE202603000046,3,2026-02-07 11:19:00,,2026-08-06 11:14:00,2026-02-07 11:14:00,2026-02-07 11:19:00,0
34,185,47,47,CODE202603000047,0,2026-02-06 11:18:00,,2026-08-05 11:13:00,2026-02-06 11:13:00,2026-02-06 11:18:00,0
35,188,48,48,CODE202603000048,1,2026-02-05 11:17:00,2026-02-06 11:12:00,2026-08-04 11:12:00,2026-02-05 11:12:00,2026-02-06 11:12:00,0
36,197,51,51,CODE202603000051,0,2026-02-02 11:14:00,,2026-08-01 11:09:00,2026-02-02 11:09:00,2026-02-02 11:14:00,0
37,200,52,52,CODE202603000052,0,2026-02-01 11:13:00,,2026-07-31 11:08:00,2026-02-01 11:08:00,2026-02-01 11:13:00,0
38,203,53,53,CODE202603000053,1,2026-01-31 11:12:00,2026-02-01 11:07:00,2026-07-30 11:07:00,2026-01-31 11:07:00,2026-02-01 11:07:00,0
39,209,55,55,CODE202603000055,0,2026-01-29 11:10:00,,2026-07-28 11:05:00,2026-01-29 11:05:00,2026-01-29 11:10:00,0
40,212,56,56,CODE202603000056,3,2026-01-28 11:09:00,,2026-07-27 11:04:00,2026-01-28 11:04:00,2026-01-28 11:09:00,0
41,215,57,57,CODE202603000057,0,2026-01-27 11:08:00,,2026-07-26 11:03:00,2026-01-27 11:03:00,2026-01-27 11:08:00,0
42,218,58,58,CODE202603000058,1,2026-01-26 11:07:00,2026-01-27 11:02:00,2026-07-25 11:02:00,2026-01-26 11:02:00,2026-01-27 11:02:00,0
43,227,61,61,CODE202603000061,0,2026-01-23 11:04:00,,2026-07-22 10:59:00,2026-01-23 10:59:00,2026-01-23 11:04:00,0
44,230,62,62,CODE202603000062,0,2026-01-22 11:03:00,,2026-07-21 10:58:00,2026-01-22 10:58:00,2026-01-22 11:03:00,0
45,233,63,63,CODE202603000063,1,2026-01-21 11:02:00,2026-01-22 10:57:00,2026-07-20 10:57:00,2026-01-21 10:57:00,2026-01-22 10:57:00,0
46,239,65,65,CODE202603000065,0,2026-01-19 11:00:00,,2026-07-18 10:55:00,2026-01-19 10:55:00,2026-01-19 11:00:00,0
47,242,66,66,CODE202603000066,3,2026-01-18 10:59:00,,2026-07-17 10:54:00,2026-01-18 10:54:00,2026-01-18 10:59:00,0
48,245,67,67,CODE202603000067,0,2026-01-17 10:58:00,,2026-07-16 10:53:00,2026-01-17 10:53:00,2026-01-17 10:58:00,0
49,248,68,68,CODE202603000068,1,2026-01-16 10:57:00,2026-01-17 10:52:00,2026-07-15 10:52:00,2026-01-16 10:52:00,2026-01-17 10:52:00,0
